TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
425,10946728,0,50,-2.7,0.0,0.0,0.8,33,0,OK,14.6,640.0,30.476,1.04,28,0,OK,-7.0,-280.0,-13.333,1.16,28,0,OK,-11.9,-570.0,-27.143,3.73,32,0,OK
430,10957726,0,50,-2.7,0.0,0.0,0.86,33,0,OK,15.0,610.0,29.048,1.42,28,0,OK,-7.2,-280.0,-13.333,1.76,28,0,OK,-12.3,-610.0,-29.048,4.09,32,0,OK
435,10968728,0,50,-2.7,0.0,0.0,0.86,33,0,OK,15.0,610.0,29.048,1.42,28,0,OK,-7.2,-280.0,-13.333,1.76,28,0,OK,-12.3,-610.0,-29.048,4.09,32,0,OK
440,10979727,0,50,-2.8,-10.0,-0.476,0.96,33,0,OK,15.4,630.0,30.0,1.13,28,0,OK,-7.3,-340.0,-16.19,1.28,28,0,OK,-12.7,-580.0,-27.619,3.68,33,0,OK
445,10990945,0,50,-2.8,-10.0,-0.476,0.96,33,0,OK,15.4,630.0,30.0,1.13,28,0,OK,-7.5,-240.0,-11.429,1.96,28,0,OK,-13.0,-450.0,-21.429,3.8,33,0,OK
450,11001726,0,50,-2.8,-20.0,-0.952,1.07,33,0,OK,15.8,580.0,27.619,1.36,28,0,OK,-7.5,-240.0,-11.429,1.96,28,0,OK,-13.0,-450.0,-21.429,3.8,33,0,OK
455,11012836,0,50,-2.8,-60.0,-2.857,0.96,33,0,OK,16.1,540.0,25.714,1.46,28,0,OK,-7.7,-420.0,-20.0,1.62,28,0,OK,-13.3,-350.0,-16.667,4.27,33,0,OK
460,11023728,0,50,-2.8,-60.0,-2.857,0.96,33,0,OK,16.1,540.0,25.714,1.46,28,0,OK,-7.7,-420.0,-20.0,1.62,28,0,OK,-13.3,-350.0,-16.667,4.27,33,0,OK
465,11034726,0,50,-2.9,-30.0,-1.429,1.12,33,0,OK,16.5,590.0,28.095,1.17,28,0,OK,-7.8,-190.0,-9.048,1.77,28,0,OK,-13.5,-390.0,-18.571,4.56,33,0,OK
470,11045726,0,50,-2.9,-30.0,-1.429,1.12,33,0,OK,16.5,590.0,28.095,1.17,28,0,OK,-7.8,-190.0,-9.048,1.77,28,0,OK,-13.5,-390.0,-18.571,4.56,33,0,OK
475,11056726,0,50,-2.9,0.0,0.0,1.13,33,0,OK,16.9,640.0,30.476,1.3,28,0,OK,-8.1,-330.0,-15.714,1.64,28,0,OK,-13.8,-420.0,-20.0,4.61,33,0,OK
480,11067728,0,50,-2.9,0.0,0.0,1.13,33,0,OK,16.9,640.0,30.476,1.3,28,0,OK,-8.1,-330.0,-15.714,1.64,28,0,OK,-13.8,-420.0,-20.0,4.61,33,0,OK
485,11078726,0,50,-2.9,-20.0,-0.952,1.26,33,0,OK,17.3,660.0,31.429,1.13,28,0,OK,-8.1,-90.0,-4.286,1.88,28,0,OK,-14.0,-440.0,-20.952,4.5,33,0,OK
490,11089832,0,50,-2.9,-20.0,-0.952,1.26,33,0,OK,17.3,660.0,31.429,1.13,28,0,OK,-8.1,-90.0,-4.286,1.88,28,0,OK,-14.4,-510.0,-24.286,4.61,33,0,OK
495,11100726,0,50,-2.9,-20.0,-0.952,1.22,33,0,OK,17.7,580.0,27.619,1.54,28,0,OK,-8.3,-160.0,-7.619,2.3,28,0,OK,-14.4,-510.0,-24.286,4.61,33,0,OK
500,11149330,2,52,-2.9,-20.0,-0.952,1.22,33,0,OK,18.0,520.0,24.762,1.28,28,0,OK,-8.3,-20.0,-0.952,2.36,28,0,OK,-14.7,-470.0,-22.381,4.86,33,0,OK
