TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
6735,60341562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6740,60352562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6745,60363562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6750,60374562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6755,60385562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6760,60396562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6765,60407562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6770,60418562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6775,60429562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6780,60440562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6785,60451562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6790,60462562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6795,60473562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6800,60484562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6805,60495562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6810,60506562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6815,60517562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6820,60528562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6825,60539562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6830,60550562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6835,60561562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6840,60572562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6845,60583562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6850,60594562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6855,60605562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6860,60616562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6865,60627562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6870,60638562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6875,60649562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6880,60660562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6885,60671562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6890,60682562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6895,60693562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6900,60704562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6905,60715562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
